,trial_num,move_times,elbow_start_volts,elbow_start_pix,elbow_start_cm,elbow_start_deg,elbow_end_volts,elbow_end_pix,elbow_end_cm,elbow_end_deg,cursor_end_pix,curs_end_cm,curs_end_deg,mean_velocity,error,block,trial_delay,target_cm,target_deg,target_pix,rt,target_pos,target_amp,full_feedback,terminal_feedback,rotation_direction,rotation,rotation_angle,clamp,clamp_angle,vibration,trial_type,participant_id
0,1,0.7120870999997351,4.199311956996098,-1690.1616152478146,-52.61687097351942,75.41409354443027,3.5957800454634707,-129.30822688892658,-4.0255288184565945,117.09824522093008,-129.30822688892658,-4.0255288184565945,117.09824522093008,58.53799581050591,-2.6271699260541936,baseline,2.108,-0.963028860028548,119.72541514698426,-30.934458539263478,0.7205315999999584,0,1,0,0,0,0,0,0,0,0,0,1
1,2,0.6785031999997955,4.198989729600726,-1689.328754098995,-52.590942951482376,75.43633593485066,3.587724360579159,-107.5452160132779,-3.348018736042724,117.67944820453108,-107.5452160132779,-3.348018736042724,117.67944820453108,62.25926756085033,-1.9359944309221648,baseline,1.693,-1.0912241505775082,119.61544263545323,-35.0523537187476,0.8342389999997977,0,1,0,0,0,0,0,0,0,0,0,1
2,3,0.6456419999994978,4.198989729600726,-1689.328754098995,-52.590942951482376,75.43633593485066,3.606735776906135,-157.20720533109323,-4.894059339882054,116.35317508322458,-157.20720533109323,-4.894059339882054,116.35317508322458,63.37388080144376,-5.347415634668124,baseline,2.173,1.3394392992657551,121.70059071789272,43.02553245161141,0.5795097999998688,0,1,0,0,0,0,0,0,0,0,0,1
3,4,0.613918800000647,4.201245321368333,-1695.1587821407302,-52.77243910574157,75.28063920190806,3.5935244536958635,-122.91071436439792,-3.826366153763583,117.26909719486542,-122.91071436439792,-3.826366153763583,117.26909719486542,68.39415569764782,-3.170728085347122,baseline,2.001,-0.1302387989005717,120.43982528021256,-4.183536851298288,0.5328678999994736,0,1,0,0,0,0,0,0,0,0,0,1
4,5,0.7340597000002163,4.200600866577588,-1693.493059843091,-52.7205830616675,75.32512398274878,3.571612990810536,-65.43234461074678,-2.0369917307426992,118.8041145775347,-65.43234461074678,-2.0369917307426992,118.8041145775347,59.23086445799043,-1.531856178918133,baseline,1.894,-0.2513023325313717,120.33597075645284,-8.072345398123865,0.6113105000003998,0,1,0,0,0,0,0,0,0,0,0,1
5,6,0.6936052999999447,4.198023047414608,-1686.830170652538,-52.513158885371325,75.50306310611182,3.515545424015727,78.85292753489506,2.454791468790703,122.65739715593732,78.85292753489506,2.454791468790703,122.65739715593732,67.98439119457315,0.9371960123461348,baseline,1.949,1.3622992320362806,121.7202011435912,43.759840292063046,0.6510772000001452,0,1,0,0,0,0,0,0,0,0,0,1
6,7,0.6898335000005318,4.199956411786843,-1691.8273375454537,-52.66872701759348,75.36960876358955,3.4562555832671933,231.96745711859936,7.221440630974905,126.74647388962951,231.96745711859936,7.221440630974905,126.74647388962951,74.47719649161772,5.866785374640642,baseline,1.916,0.3825111092257696,120.87968851498889,12.287039921941158,0.6334530999993149,0,1,0,0,0,0,0,0,0,0,0,1
7,8,0.6761304000001473,4.199311956996098,-1690.1616152478146,-52.61687097351942,75.41409354443027,3.5400347060640343,15.334168657420584,0.4773720846898919,120.96106513712064,15.334168657420584,0.4773720846898919,120.96106513712064,67.36418240132443,0.2525890597941895,baseline,1.543,0.1829282508717629,120.70847607732644,5.876029916782336,0.7046384000004764,0,1,0,0,0,0,0,0,0,0,0,1
8,9,0.6720840999996653,4.198345274809981,-1687.6630318013576,-52.53908690740836,75.48082071569144,3.592557771509746,-120.23084296033058,-3.742938364005879,117.34066584244871,-120.23084296033058,-3.742938364005879,117.34066584244871,62.28364147697903,-4.247504076107305,baseline,2.248,1.2083900321891523,121.58816991855602,38.81596170327281,0.6596776000005775,0,1,0,0,0,0,0,0,0,0,0,1
9,10,0.6220343000004505,4.198989729600726,-1689.328754098995,-52.590942951482376,75.43633593485066,3.5580794402048923,-31.03147607043006,-0.966049138606353,119.72282419672936,-31.03147607043006,-0.966049138606353,119.72282419672936,71.19621580650237,-1.7669633739432982,baseline,1.641,1.0937054305899605,121.48978757067266,35.132057512533414,0.8167905000000246,0,1,0,0,0,0,0,0,0,0,0,1
10,11,0.6020490000000791,4.199956411786843,-1691.8273375454537,-52.66872701759348,75.36960876358955,3.6405696534202434,-244.09536393943688,-7.598997725287041,114.0327398589207,-244.09536393943688,-7.598997725287041,114.0327398589207,64.2192431103217,-6.745968261329637,baseline,2.3,0.264797956520316,120.77870812025034,8.50585246948527,0.6567480999992767,0,1,0,0,0,0,0,0,0,0,0,1
11,12,0.6721750999995493,4.198023047414608,-1686.830170652538,-52.513158885371325,75.50306310611182,3.6254249658377375,-205.886883162124,-6.409519343446438,115.05313557316823,-205.886883162124,-6.409519343446438,115.05313557316823,58.8389431073584,-4.88202689735698,baseline,2.202,-0.7185257682207733,119.93516247052524,-23.080518672886964,0.7427539000000252,0,1,0,0,0,0,0,0,0,0,0,1
12,13,0.5596765000000232,4.198345274809981,-1687.6630318013576,-52.53908690740836,75.48082071569144,3.618013735744171,-186.4386369078066,-5.804070814386919,115.57252045117993,-186.4386369078066,-5.804070814386919,115.57252045117993,71.63370221098583,-4.37928392676136,baseline,1.878,-0.6991262462239658,119.95180437794129,-22.457366310792665,0.6678964000002452,0,1,0,0,0,0,0,0,0,0,0,1
13,14,0.6080842999999732,4.197378592623863,-1685.164448354899,-52.46130284129726,75.54754788695254,3.615113689185818,-178.62221960982973,-5.560735847640244,115.7812656969831,-178.62221960982973,-5.560735847640244,115.7812656969831,66.16470415373712,-5.5029947359699065,baseline,2.247,0.8541218222058609,121.284260432953,27.43614152510873,0.6466936999995596,0,1,0,0,0,0,0,0,0,0,0,1
14,15,0.5898062000005666,4.197700820019236,-1685.9973095037185,-52.48723086333429,75.52530549653216,3.641858563001733,-246.99000546231252,-7.689111580760803,113.955435560395,-246.99000546231252,-7.689111580760803,113.955435560395,65.15721615646956,-6.283221202365439,baseline,1.552,-0.3647415504068072,120.23865676276044,-11.716245314051736,0.6639250999996875,0,1,0,0,0,0,0,0,0,0,0,1
15,16,0.5900282000002335,4.198989729600726,-1689.328754098995,-52.590942951482376,75.43633593485066,3.5029785555962007,112.09428682214208,3.4896370698399424,123.545140920212,112.09428682214208,3.4896370698399424,123.545140920212,81.53645026685554,2.5652535740140365,baseline,2.121,0.4993131909522177,120.97988734619796,16.038961909366712,0.6424862000003486,0,1,0,0,0,0,0,0,0,0,0,1
16,17,0.6282306000002791,4.199956411786843,-1691.8273375454537,-52.66872701759348,75.36960876358955,3.561623941553989,-40.12877887600547,-1.249259692916459,119.47987162166824,-40.12877887600547,-1.249259692916459,119.47987162166824,70.21348985238717,-0.7780050486790913,baseline,1.871,-0.3423368457845157,120.25787667034734,-10.996560333684505,0.5967475999996168,0,1,0,0,0,0,0,0,0,0,0,1
