,participant_id,vibration,elbow_end_deg,error,move_times,mean_velocity,baseline_elbow_end_deg,baseline_error,baseline_move_times,mean_velocity_baseline,elbow_end_deg_diff,error_diff,move_times_diff
0,1,No Vibration,115.8122232860569,-5.545165769792287,0.6317931155555622,64.74007016782512,115.8122232860569,-5.545165769792287,0.6317931155555622,64.74007016782512,0.0,0.0,0.0
1,1,Dual,113.37476490023306,-7.821923340487045,0.7180271299999731,54.37664891666865,115.8122232860569,-5.545165769792287,0.6317931155555622,64.74007016782512,-2.437458385823845,-2.276757570694758,0.08623401444441092
2,1,Triceps,114.51248550806149,-7.299031095706227,0.7375290533333403,54.6767245284544,115.8122232860569,-5.545165769792287,0.6317931155555622,64.74007016782512,-1.2997377779954178,-1.7538653259139405,0.10573593777777812
3,1,Biceps,111.25083041658756,-9.990595849678511,0.6755134033333585,54.5149951902939,115.8122232860569,-5.545165769792287,0.6317931155555622,64.74007016782512,-4.561392869469344,-4.445430079886225,0.04372028777779635
4,2,No Vibration,117.05177574140698,-3.6102759041168793,0.7564729494252924,57.49073532136844,117.05177574140698,-3.6102759041168793,0.7564729494252924,57.49073532136844,0.0,0.0,0.0
5,2,Dual,116.81738679076578,-3.7907901096691092,0.7471341586207363,59.04576206166749,117.05177574140698,-3.6102759041168793,0.7564729494252924,57.49073532136844,-0.23438895064120402,-0.18051420555222997,-0.00933879080455613
6,2,Triceps,116.91935425960696,-3.702384837437497,0.7431841266666803,58.48688577716028,117.05177574140698,-3.6102759041168793,0.7564729494252924,57.49073532136844,-0.1324214818000229,-0.09210893332061776,-0.013288822758612095
7,2,Biceps,114.07687878466473,-6.194922317872793,0.7107923966666324,56.904226340752714,117.05177574140698,-3.6102759041168793,0.7564729494252924,57.49073532136844,-2.9748969567422563,-2.5846464137559138,-0.04568055275866001
8,3,No Vibration,117.68179429178281,-2.6837787025924444,0.9541182797754088,46.821142502876704,117.68179429178281,-2.6837787025924444,0.9541182797754088,46.821142502876704,0.0,0.0,0.0
9,3,Dual,116.77345952911347,-3.3837637432483185,0.9957365433333204,43.865205386594205,117.68179429178281,-2.6837787025924444,0.9541182797754088,46.821142502876704,-0.908334762669341,-0.6999850406558741,0.04161826355791165
10,3,Triceps,119.93106709156632,-0.28616607245769876,1.0109658033333593,46.24388246958657,117.68179429178281,-2.6837787025924444,0.9541182797754088,46.821142502876704,2.249272799783512,2.397612630134746,0.05684752355795053
11,3,Biceps,113.11923193481083,-7.082071985438378,0.9908555933331323,40.766036972539695,117.68179429178281,-2.6837787025924444,0.9541182797754088,46.821142502876704,-4.562562356971981,-4.398293282845934,0.03673731355772358
12,4,No Vibration,110.28354275811067,-6.578978631474505,0.832407799999989,49.73474974097159,110.28354275811067,-6.578978631474505,0.832407799999989,49.73474974097159,0.0,0.0,0.0
13,4,Dual,110.59403647598629,-6.277055822659792,0.8382534633334369,49.34363666330518,110.28354275811067,-6.578978631474505,0.832407799999989,49.73474974097159,0.31049371787561597,0.30192280881471323,0.005845663333447826
14,4,Triceps,112.48193297249406,-4.600826785608757,0.869904262068946,49.57861581536052,110.28354275811067,-6.578978631474505,0.832407799999989,49.73474974097159,2.1983902143833944,1.9781518458657477,0.03749646206895696
15,4,Biceps,107.13010750138632,-10.056988026392533,0.8241159233333747,45.55678424111621,110.28354275811067,-6.578978631474505,0.832407799999989,49.73474974097159,-3.15343525672435,-3.478009394918028,-0.00829187666661435
16,5,No Vibration,113.76767087574287,-2.64669908819131,0.8410103033333649,51.72963198930131,113.76767087574287,-2.64669908819131,0.8410103033333649,51.72963198930131,0.0,0.0,0.0
17,5,Dual,112.21383295849279,-4.3339193259197355,0.9029011666666975,46.72449824343241,113.76767087574287,-2.64669908819131,0.8410103033333649,51.72963198930131,-1.5538379172500782,-1.6872202377284253,0.0618908633333326
18,5,Triceps,114.14542482793972,-2.763462820447334,0.8921447333334224,49.414502779761996,113.76767087574287,-2.64669908819131,0.8410103033333649,51.72963198930131,0.3777539521968549,-0.11676373225602399,0.05113443000005746
19,5,Biceps,110.09165132858081,-6.347222208525012,0.8437368800000361,47.44098027977195,113.76767087574287,-2.64669908819131,0.8410103033333649,51.72963198930131,-3.6760195471620563,-3.7005231203337017,0.002726576666671199
20,6,No Vibration,115.38363918504784,-3.5848249078621874,1.039728345454519,41.5440588970998,115.38363918504784,-3.5848249078621874,1.039728345454519,41.5440588970998,0.0,0.0,0.0
21,6,Dual,111.28613431934063,-7.65556346671981,1.0922576233338381,35.78314629560224,115.38363918504784,-3.5848249078621874,1.039728345454519,41.5440588970998,-4.097504865707208,-4.070738558857623,0.05252927787931916
22,6,Triceps,116.44036185372433,-2.357888734242878,1.1270910214286363,39.300284332761656,115.38363918504784,-3.5848249078621874,1.039728345454519,41.5440588970998,1.0567226686764855,1.2269361736193094,0.08736267597411729
23,6,Biceps,107.7436447225556,-11.354152577657832,1.0967245517240372,32.568952602795605,115.38363918504784,-3.5848249078621874,1.039728345454519,41.5440588970998,-7.63999446249224,-7.769327669795644,0.05699620626951818
24,7,No Vibration,119.24087700918508,0.5465018189869015,0.8204788955556068,57.91949455256729,119.24087700918508,0.5465018189869015,0.8204788955556068,57.91949455256729,0.0,0.0,0.0
25,7,Dual,118.03272374937819,-0.2117819570547776,0.9209845866667213,51.03890929076683,119.24087700918508,0.5465018189869015,0.8204788955556068,57.91949455256729,-1.2081532598068918,-0.7582837760416792,0.10050569111111451
