,participant_id,vibration,elbow_end_deg,error,move_times,baseline_elbow_end_deg,baseline_error,baseline_move_times,elbow_end_deg_diff,error_diff,move_times_diff
0,1,No Vibration,3.7319023354934258,3.391994456467505,0.08650328509424494,3.7319023354934258,3.391994456467505,0.08650328509424494,0.0,0.0,0.0
1,1,Dual,3.8784552481387835,3.7573499771654086,0.13661004420084616,3.7319023354934258,3.391994456467505,0.08650328509424494,0.14655291264535775,0.36535552069790356,0.050106759106601215
2,1,Triceps,4.370416214451528,4.077519924369335,0.142025983582721,3.7319023354934258,3.391994456467505,0.08650328509424494,0.6385138789581024,0.6855254679018303,0.05552269848847606
3,1,Biceps,4.080973147743758,3.914821656887024,0.10708084936202104,3.7319023354934258,3.391994456467505,0.08650328509424494,0.3490708122503321,0.5228272004195191,0.0205775642677761
4,2,No Vibration,4.411802995960682,4.085826511872299,0.11712877985572172,4.411802995960682,4.085826511872299,0.11712877985572172,0.0,0.0,0.0
5,2,Dual,5.541697633273051,5.055928283215644,0.18552052957055123,4.411802995960682,4.085826511872299,0.11712877985572172,1.1298946373123693,0.9701017713433444,0.06839174971482952
6,2,Triceps,3.9902036754930688,3.6758988038841,0.12206878567831385,4.411802995960682,4.085826511872299,0.11712877985572172,-0.42159932046761295,-0.40992770798819933,0.004940005822592131
7,2,Biceps,4.208626823695551,3.567156288422438,0.14077018635254696,4.411802995960682,4.085826511872299,0.11712877985572172,-0.20317617226513107,-0.518670223449861,0.023641406496825237
8,3,No Vibration,3.9918928486267142,3.8630714677101854,0.19220372077884504,3.9918928486267142,3.8630714677101854,0.19220372077884504,0.0,0.0,0.0
9,3,Dual,3.7859587734617524,3.9175975163384615,0.18206177176937846,3.9918928486267142,3.8630714677101854,0.19220372077884504,-0.20593407516496187,0.05452604862827615,-0.010141949009466578
10,3,Triceps,3.369633522862528,3.3934767783500637,0.17547345849523246,3.9918928486267142,3.8630714677101854,0.19220372077884504,-0.6222593257641864,-0.4695946893601217,-0.016730262283612574
11,3,Biceps,5.161916398761137,5.167771001497382,0.25063422771640087,3.9918928486267142,3.8630714677101854,0.19220372077884504,1.1700235501344225,1.3046995337871965,0.05843050693755583
12,4,No Vibration,4.236913269184664,3.9288231468842927,0.15159873086280917,4.236913269184664,3.9288231468842927,0.15159873086280917,0.0,0.0,0.0
13,4,Dual,3.843759824118179,3.4277318276581314,0.13432080019541903,4.236913269184664,3.9288231468842927,0.15159873086280917,-0.3931534450664853,-0.5010913192261612,-0.01727793066739014
14,4,Triceps,4.169818154642531,3.8766944192386417,0.11607318923024086,4.236913269184664,3.9288231468842927,0.15159873086280917,-0.06709511454213324,-0.05212872764565102,-0.03552554163256831
15,4,Biceps,3.8493723668696043,3.3453215730080683,0.10321680304295006,4.236913269184664,3.9288231468842927,0.15159873086280917,-0.38754090231506,-0.5835015738762244,-0.048381927819859116
16,5,No Vibration,3.450854228338914,2.7520863287518176,0.0881355556934517,3.450854228338914,2.7520863287518176,0.0881355556934517,0.0,0.0,0.0
17,5,Dual,3.4959966663192716,2.9473756899514405,0.12134654492717911,3.450854228338914,2.7520863287518176,0.0881355556934517,0.04514243798035755,0.19528936119962292,0.03321098923372741
18,5,Triceps,3.9639382705209685,3.2660753963953573,0.11463623204451204,3.450854228338914,2.7520863287518176,0.0881355556934517,0.5130840421820544,0.5139890676435397,0.026500676351060334
19,5,Biceps,2.965819762160951,2.8166198423707653,0.10031985271614052,3.450854228338914,2.7520863287518176,0.0881355556934517,-0.4850344661779631,0.06453351361894777,0.01218429702268882
20,6,No Vibration,4.377837590945848,3.995033889340888,0.16458637925606254,4.377837590945848,3.995033889340888,0.16458637925606254,0.0,0.0,0.0
21,6,Dual,4.257144197727997,3.5093036899107375,0.168335037169949,4.377837590945848,3.995033889340888,0.16458637925606254,-0.12069339321785133,-0.4857301994301504,0.003748657913886455
22,6,Triceps,4.181459184924547,3.9627284980710895,0.1794554811408938,4.377837590945848,3.995033889340888,0.16458637925606254,-0.1963784060213012,-0.03230539126979837,0.01486910188483126
23,6,Biceps,5.269494986984187,4.981990197509921,0.21612780482540722,4.377837590945848,3.995033889340888,0.16458637925606254,0.8916573960383385,0.9869563081690331,0.051541425569344684
24,7,No Vibration,3.5297430104674725,3.4885302246844923,0.1177732194008077,3.5297430104674725,3.4885302246844923,0.1177732194008077,0.0,0.0,0.0
25,7,Dual,4.050922665199532,3.5168982513847857,0.19131279216616448,3.5297430104674725,3.4885302246844923,0.1177732194008077,0.5211796547320593,0.02836802670029348,0.07353957276535678
26,7,Triceps,4.139563139604965,3.3838976064272557,0.13446605469090162,3.5297430104674725,3.4885302246844923,0.1177732194008077,0.6098201291374923,-0.10463261825723658,0.01669283529009391
27,7,Biceps,5.681457217362192,5.146221494609878,0.15448817248035232,3.5297430104674725,3.4885302246844923,0.1177732194008077,2.1517142068947197,1.6576912699253858,0.036714953079544616
28,8,No Vibration,4.272748501714846,3.9483287372785107,0.1700751820681531,4.272748501714846,3.9483287372785107,0.1700751820681531,0.0,0.0,0.0
29,8,Dual,4.327078924185816,3.868504363132937,0.17084781390308001,4.272748501714846,3.9483287372785107,0.1700751820681531,0.05433042247097042,-0.07982437414557353,0.0007726318349269012
30,8,Triceps,4.580649518636742,4.83382369693921,0.1566941607699703,4.272748501714846,3.9483287372785107,0.1700751820681531,0.3079010169218961,0.8854949596606994,-0.013381021298182805
31,8,Biceps,4.991217817985212,4.9653893503159106,0.17090062026097894,4.272748501714846,3.9483287372785107,0.1700751820681531,0.7184693162703661,1.0170606130373998,0.0008254381928258225
