,trial_num,move_times,elbow_start_volts,elbow_start_pix,elbow_start_cm,elbow_start_deg,elbow_end_volts,elbow_end_pix,elbow_end_cm,elbow_end_deg,cursor_end_pix,curs_end_cm,curs_end_deg,mean_velocity,error,block,trial_delay,target_cm,target_deg,target_pix,rt,target_pos,target_amp,full_feedback,terminal_feedback,rotation_direction,rotation,rotation_angle,clamp,clamp_angle,vibration,trial_type,participant_id
0,11,0.6220521000004737,4.198345274809981,-1687.6630318013576,-52.53908690740836,75.48082071569144,3.5429347526223864,8.07954963960088,0.2515266096897443,120.76732327657857,8.07954963960088,0.2515266096897443,120.76732327657857,72.80178390339434,-0.5162351852974325,main,1.925,0.8533035323903277,121.283558461876,27.40985638099482,0.5987325999994937,0,1,0,0,0,0,0,0,0,0,0,1
1,12,0.6180056999992303,4.199311956996098,-1690.1616152478146,-52.61687097351942,75.41409354443027,3.513612059643492,84.46196571419534,2.6294079288400067,122.80719213345986,84.46196571419534,2.6294079288400067,122.80719213345986,76.68715448593535,-0.5016291207619759,main,1.662,3.21415851777018,123.30882125422184,103.24535175782243,0.6238615000002028,0,1,0,0,0,0,0,0,0,0,0,1
2,13,0.5221689999998489,4.197056365228491,-1684.3315872060812,-52.43537481926028,75.56979027737293,3.641214108210988,-245.4779027694417,-7.642037909478882,113.9958177759638,-245.4779027694417,-7.642037909478882,113.9958177759638,73.58925462561355,-6.291143566204767,main,1.535,-0.3084327555464865,120.28696134216858,-9.907491545290489,0.8203826999997545,0,1,0,0,0,0,0,0,0,3,0,1
3,14,0.586337700000513,4.199311956996098,-1690.1616152478146,-52.61687097351942,75.41409354443027,3.475589226989541,182.12180389501208,5.669682337214495,125.4152958399276,182.12180389501208,5.669682337214495,125.4152958399276,85.27714028187782,2.8581233236731407,main,2.334,2.337959302048005,122.55717251625448,75.1000391551562,0.5675196000001961,0,1,0,0,0,0,0,0,0,2,0,1
4,15,0.6398977999997442,4.198667502205353,-1688.4958929501772,-52.5650149294454,75.45857832527105,3.490089459781302,144.70385509755994,4.50481421678885,124.41601207328478,144.70385509755994,4.50481421678885,124.41601207328478,76.50820763570886,1.5442977367072783,main,2.345,2.704621656892332,122.8717143365775,86.8779846400966,0.5886266999996224,0,1,0,0,0,0,0,0,0,1,0,1
5,16,0.6200336000001698,4.198023047414608,-1686.830170652538,-52.513158885371325,75.50306310611182,3.527145610249136,49.33938439811602,1.5359975042433471,121.86920845237309,49.33938439811602,1.5359975042433471,121.86920845237309,74.78005280076523,-1.5323103044321158,main,2.301,3.322216277944948,123.4015187568052,106.71638823524736,0.5749352000002546,0,1,0,0,0,0,0,0,0,0,0,1
6,17,0.5620387999997547,4.198667502205353,-1688.4958929501772,-52.5650149294454,75.45857832527105,3.700503948959522,-398.3444900218796,-12.40096831297431,109.913362590343,-398.3444900218796,-12.40096831297431,109.913362590343,61.30321299007649,-10.302372879053197,main,1.875,-0.3914609716665009,120.2157354693962,-12.57452782609048,0.6243958000004568,0,1,0,0,0,0,0,0,0,1,0,1
7,18,0.648070899999766,4.199634184391471,-1690.994476396634,-52.64279899555645,75.39185115400994,3.649592020490672,-268.43441487235793,-8.356703196173417,113.38274114775628,-268.43441487235793,-8.356703196173417,113.38274114775628,58.621502668550725,-6.402175992280604,main,2.339,-0.8936672060894284,119.7849171400369,-28.706420214502543,0.6246227000001454,0,1,0,0,0,0,0,0,0,0,0,1
8,19,0.564030499999717,4.200278639182216,-1692.6601986942733,-52.69465503963052,75.34736637316917,3.589657724951394,-112.96090366715391,-3.5166159494370746,117.53481684627512,-112.96090366715391,-3.5166159494370746,117.53481684627512,74.7963992605491,-5.439541499865868,main,2.217,2.824274090449723,122.974358346141,90.721465763698,0.6467667999995683,0,1,0,0,0,0,0,0,0,0,0,1
9,20,0.6561427999995431,4.1960896830423735,-1681.8330037596224,-52.35759075314917,75.63651744863404,3.642503017792478,-248.83909575842247,-7.746676102787021,113.90605375365932,-248.83909575842247,-7.746676102787021,113.90605375365932,58.325011422897454,-8.076383157706005,main,2.392,1.6679882626323068,121.98243691136533,53.57919777487005,0.5957424999996874,0,1,0,0,0,0,0,0,0,0,0,1
